date,hour,day_idx,missing_percentage,valid_points,datetime
2015-06-05,17,7,0.0,3600,2015-06-05 17:00:00
2015-06-05,18,7,0.0,3600,2015-06-05 18:00:00
2015-06-05,19,7,0.0,3600,2015-06-05 19:00:00
2015-06-05,20,7,0.0,3600,2015-06-05 20:00:00
2015-06-05,22,7,0.0,3600,2015-06-05 22:00:00
2015-06-05,23,7,0.0,3600,2015-06-05 23:00:00
2015-06-06,1,8,0.0,3600,2015-06-06 01:00:00
2015-06-06,2,8,0.0,3600,2015-06-06 02:00:00
2015-06-06,3,8,0.0,3600,2015-06-06 03:00:00
2015-06-06,4,8,0.0,3600,2015-06-06 04:00:00
2015-06-06,5,8,0.0,3600,2015-06-06 05:00:00
2015-06-06,6,8,0.0,3600,2015-06-06 06:00:00
2015-06-06,7,8,0.0,3600,2015-06-06 07:00:00
2015-06-06,8,8,0.0,3600,2015-06-06 08:00:00
2015-06-06,11,8,0.0,3600,2015-06-06 11:00:00
2015-06-06,12,8,0.0,3600,2015-06-06 12:00:00
2015-06-06,13,8,0.0,3600,2015-06-06 13:00:00
2015-06-06,14,8,0.0,3600,2015-06-06 14:00:00
2015-06-06,15,8,0.0,3600,2015-06-06 15:00:00
2015-06-06,16,8,0.0,3600,2015-06-06 16:00:00
2015-06-06,17,8,0.0,3600,2015-06-06 17:00:00
2015-06-06,18,8,0.0,3600,2015-06-06 18:00:00
2015-06-06,19,8,0.0,3600,2015-06-06 19:00:00
2015-06-06,21,8,0.0,3600,2015-06-06 21:00:00
2015-06-06,22,8,0.0,3600,2015-06-06 22:00:00
2015-06-06,23,8,0.0,3600,2015-06-06 23:00:00
2015-06-07,0,9,0.0,3600,2015-06-07 00:00:00
2015-06-07,2,9,0.0,3600,2015-06-07 02:00:00
2015-06-07,3,9,0.0,3600,2015-06-07 03:00:00
2015-06-07,4,9,0.0,3600,2015-06-07 04:00:00
2015-06-07,5,9,0.0,3600,2015-06-07 05:00:00
2015-06-07,6,9,0.0,3600,2015-06-07 06:00:00
2015-06-07,7,9,0.0,3600,2015-06-07 07:00:00
2015-06-07,8,9,0.0,3600,2015-06-07 08:00:00
2015-06-07,10,9,0.0,3600,2015-06-07 10:00:00
2015-06-07,11,9,0.0,3600,2015-06-07 11:00:00
2015-06-07,12,9,0.0,3600,2015-06-07 12:00:00
2015-06-07,13,9,0.0,3600,2015-06-07 13:00:00
2015-06-07,14,9,0.0,3600,2015-06-07 14:00:00
2015-06-07,15,9,0.0,3600,2015-06-07 15:00:00
2015-06-07,16,9,0.0,3600,2015-06-07 16:00:00
2015-06-07,17,9,0.0,3600,2015-06-07 17:00:00
2015-06-07,18,9,0.0,3600,2015-06-07 18:00:00
2015-06-07,19,9,0.0,3600,2015-06-07 19:00:00
2015-06-07,21,9,0.0,3600,2015-06-07 21:00:00
2015-06-07,22,9,0.0,3600,2015-06-07 22:00:00
2015-06-08,0,10,0.0,3600,2015-06-08 00:00:00
2015-06-08,2,10,0.0,3600,2015-06-08 02:00:00
2015-06-08,4,10,0.0,3600,2015-06-08 04:00:00
2015-06-08,5,10,0.0,3600,2015-06-08 05:00:00
2015-06-08,8,10,0.0,3600,2015-06-08 08:00:00
2015-06-08,9,10,0.0,3600,2015-06-08 09:00:00
2015-06-08,10,10,0.0,3600,2015-06-08 10:00:00
2015-06-08,11,10,0.0,3600,2015-06-08 11:00:00
2015-06-08,12,10,0.0,3600,2015-06-08 12:00:00
2015-06-08,13,10,0.0,3600,2015-06-08 13:00:00
2015-06-08,14,10,0.0,3600,2015-06-08 14:00:00
2015-06-08,15,10,0.0,3600,2015-06-08 15:00:00
2015-06-08,16,10,0.0,3600,2015-06-08 16:00:00
2015-06-08,18,10,0.0,3600,2015-06-08 18:00:00
2015-06-08,19,10,0.0,3600,2015-06-08 19:00:00
2015-06-08,20,10,0.0,3600,2015-06-08 20:00:00
2015-06-08,21,10,0.0,3600,2015-06-08 21:00:00
2015-06-08,22,10,0.0,3600,2015-06-08 22:00:00
2015-06-08,23,10,0.0,3600,2015-06-08 23:00:00
2015-06-09,1,11,0.0,3600,2015-06-09 01:00:00
2015-06-09,10,11,0.0,3600,2015-06-09 10:00:00
2015-06-09,12,11,0.0,3600,2015-06-09 12:00:00
2015-06-09,13,11,0.0,3600,2015-06-09 13:00:00
2015-06-09,14,11,0.0,3600,2015-06-09 14:00:00
2015-06-09,15,11,0.0,3600,2015-06-09 15:00:00
2015-06-09,16,11,0.0,3600,2015-06-09 16:00:00
2015-06-09,17,11,0.0,3600,2015-06-09 17:00:00
2015-06-09,18,11,0.0,3600,2015-06-09 18:00:00
2015-06-09,19,11,0.0,3600,2015-06-09 19:00:00
